main,aisle,category,sub_category,title,product_link,promotion,discount_percent,original_price,discounted_price
Mercado,Drogaria,Dermocosméticos,Hidratação,Hidratante Facial Effaclar Mat La Roche Posay 40ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/hidratante-facial-effaclar-mat-la-roche-posay-40ml-5377188/p,,,,239.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Loção Hidratante Corporal Fisiogel 240ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-hidratante-corporal-fisiogel-240ml-6425851/p,,,,72.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Sérum Facial Antioxidante Avène A-Oxitive 30ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/serum-facial-antioxidante-avene-aoxitive-30ml-6069274/p,,,,269.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Hidratante Facial Restaurador Epidrat Calm Pele Sensível 120g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/hidratante-facial-restaurador-epidrat-calm-pele-sensivel-120g-3438333/p,,,,199.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Loção Calamed aerosol com 150 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-calamed-aerosol-com-150-ml-5158117/p,,,,27.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Loção Hidratante Cetaphil Restoraderm Com 295ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-hidratante-cetaphil-restoraderm-com-295ml-8673896/p,,,,149.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Sabonete em Barra Atoderm Bioderma 150gr,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-em-barra-atoderm-bioderma-150gr-5417864/p,,,,91.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Hidratante Avène Cleanance Aqua Gel 30g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/hidratante-avene-cleanance-aqua-gel-30g-3479510/p,,,,139.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Loção Hidratante Cetaphil Pro AD Restoraderm 145ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/locao-hidratante-cetaphil-pro-ad-restoraderm-145ml-3385981/p,,,,109.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Creme Loção Hidratante Dermovance S 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/creme-locao-hidratante-dermovance-s-200ml-5440327/p,,,,76.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Gel Hidratante Atoderm Douche Bioderma 500ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-hidratante-atoderm-douche-bioderma-500ml-5417872/p,,,,169.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Creme Protetor para as Mãos Cetaphil Healthy Hygiene Com 50ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/creme-protetor-para-as-maos-cetaphil-healthy-hygiene-com-50ml-6472214/p,,,,59.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Vichy Mineral 89 Gel Fortalecedor Hidratante 30 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/vichy-mineral-89-gel-fortalecedor-hidratante-30-ml-6072038/p,,,,139.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Aerossol Água Termal Avène 50ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/aerossol-agua-termal-avene-50ml-5368073/p,,,,94.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Creme Hidratante Umiditá Ai Pele Seca E Sensível Com 45g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/creme-hidratante-umidita-ai-pele-seca-e-sensivel-com-45g-5416477/p,,,,49.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Hidratante Para Os Pés Isdin Foot Care Ureadin Podos Gel Com 75ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/hidratante-para-os-pes-isdin-foot-care-ureadin-podos-gel-com-75ml-5394236/p,,,,89.9
Mercado,Drogaria,Dermocosméticos,Hidratação,Condicionador Tresemmé Hidratação Profunda 400ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/condicionador-tresemme-hidratacao-profunda-400ml-8930333/p,,,,22.59
Mercado,Drogaria,Dermocosméticos,Hidratação,Condicionador Dove Reconstrução Completa 400ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/condicionador-dove-reconstrucao-completa-400ml-7784201/p,,,,37.39
