main,aisle,category,sub_category,title,product_link,promotion,discount_percent,original_price,discounted_price
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel de Limpeza Facial Suavizante L'Oréal Paris Revitalift Pro-Retinol 150g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-de-limpeza-facial-suavizante-loreal-paris-revitalift-pro-retinol-150g-3102505/p,,,,36.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Desodorante Aerosol La Roche-Posay Peles Sensíveis com 150 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/desodorante-aerosol-la-rocheposay-peles-sensiveis-com-150-ml-6069231/p,,,,149.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Kit Creme Dental Sensodyne Repair & Protect para Dentes Sensíveis 100g 2 Unidades,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/kit-creme-dental-sensodyne-repair-protect-para-dentes-sensiveis-100g-2-unidades-6941265/p,70% OFF NA 2 UNBadge da promoção 70% OFF NA 2 UN,,,35.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido Protex Carvão Detox 250ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-protex-carvao-detox-250ml-6683118/p,,,,14.19
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido La Roche-Posay Lipikar Surgras Rosto e Corpo com 400 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-la-rocheposay-lipikar-surgras-rosto-e-corpo-com-400-ml-5363977/p,,,,169.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido Fisiogel 400ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-fisiogel-400ml-6039049/p,,,,109.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete em Barra Cetaphil Limpeza Suave Com 127g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-em-barra-cetaphil-limpeza-suave-com-127g-6039073/p,,,,34.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sérum Facial Skinceuticals Phloretin CF Antioxidante com 30 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/serum-facial-skinceuticals-phloretin-cf-antioxidante-com-30-ml-8897506/p,,,,549
Mercado,Drogaria,Dermocosméticos,Limpeza,Tira Manchas Vanish em Pó Oxi Action para roupas coloridas Refil Econômico 1kg,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/tira-manchas-vanish-em-po-oxi-action-para-roupas-coloridas-refil-economico-1kg-5559430/p,40% OFF NA 2 UNBadge da promoção 40% OFF NA 2 UN,,,39.99
Mercado,Drogaria,Dermocosméticos,Limpeza,Detergente para Lava Louças em Pó Finish 450g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/detergente-para-lava-loucas-em-po-finish-450g-5664861/p,,-22%,36.39,28.45
