Title,Company,Work Type,Location,Job Type,Posted,Job URL
International Grants Accountant,ARTICLE 19,Hybrid,"Amsterdam, NH, Netherlands",Full Time,Posted 19 days ago,https://www.idealist.org/en/nonprofit-job/31de9ec81b3a49fea895feb472ca1848-international-grants-accountant-article-19-amsterdam
Research consultant for final external evaluation of the CHIQUAL project (2022–2025),Child Helpline International,Remote,Netherlands,Contract/Freelance,Posted 1 day ago,https://www.idealist.org/en/nonprofit-job/67dc58b4559b454f85e0b30f86c1be49-research-consultant-for-final-external-evaluation-of-the-chiqual-project-20222025-child-helpline-international-amsterdam
Partnerships & Fundraising Consultant,Women's International League for Peace and Freedom - International Office,Remote,Anywhere,Contract/Freelance,Posted 14 days ago,https://www.idealist.org/en/nonprofit-job/d6c9b26c85ad46d3a510ab259ae1680c-partnerships-fundraising-consultant-womens-international-league-for-peace-and-freedom-international-office-geneve
Digital Comms Assistant,Volt Europa,Remote,Italy,Part Time,Posted 19 hours ago,https://www.idealist.org/en/nonprofit-job/43e9def7e8424842a686b851c4cedd36-digital-comms-assistant-volt-europa-brussels
Digital Comms Assistant,Volt Europa,Remote,France,Part Time,Posted 19 hours ago,https://www.idealist.org/en/nonprofit-job/0d69c4412083467cab60a88ae94aa30b-digital-comms-assistant-volt-europa-brussels
Digital Comms Assistant,Volt Europa,Remote,Netherlands,Part Time,Posted 19 hours ago,https://www.idealist.org/en/nonprofit-job/07e856e786634daaa1996d25c853ded6-digital-comms-assistant-volt-europa-brussels
Digital Comms Assistant,Volt Europa,Remote,Luxembourg,Part Time,Posted 19 hours ago,https://www.idealist.org/en/nonprofit-job/0345fea361574df6999eb314ac6513a3-digital-comms-assistant-volt-europa-brussels
Senior EU Policy Officer - Tech Policy,Child Helpline International,Hybrid,"Brussels, Brussels, Belgium",Contract/Freelance,Posted 21 hours ago,https://www.idealist.org/en/nonprofit-job/ea5976d0f64c42ba85736510e4e95dca-senior-eu-policy-officer-tech-policy-child-helpline-international-brussels
Fundraising Lead (f/m/d),Volt Europa,Remote,Anywhere,Full Time,Posted 6 days ago,https://www.idealist.org/en/nonprofit-job/dc860f1c1ba14dd59efc0201492b032b-fundraising-lead-fmd-volt-europa-brussels
"Helpline Supervisor - Community Help Service (CHS) Part-Time Role, Brussels-based",Community Help Service (CHS),Hybrid,"Brussels, Brussels, Belgium",Part Time,Posted 22 days ago,https://www.idealist.org/en/nonprofit-job/48d770a845314acca99a10e4788f9d90-helpline-supervisor-community-help-service-chs-part-time-role-brussels-based-community-help-service-chs-brussels
Organizational Development Consultant / Legal Evaluation,Peace Brigades International,Remote,Anywhere,Contract/Freelance,Posted 7 days ago,https://www.idealist.org/en/nonprofit-job/e66c54a4ad0a41feb422549dc59b6cde-organizational-development-consultant-legal-evaluation-peace-brigades-international-sint-gillis
Programme Officer - Environmental Conservation,SEED Madagascar,On-site,"Taolagnaro, Anosy, Madagascar",Full Time,Posted 23 days ago,https://www.idealist.org/en/nonprofit-job/573ef40c51104b65b8c3d80ec9da6008-programme-officer-environmental-conservation-seed-madagascar-taolagnaro
Programme Officer - Environment and Livelihoods (Madagascar),SEED Madagascar,On-site,"Taolagnaro, Anosy, Madagascar",Full Time,Posted 23 days ago,https://www.idealist.org/en/nonprofit-job/ffe261921d8a4e0e85f96403aee5ce7a-programme-officer-environment-and-livelihoods-madagascar-seed-madagascar-taolagnaro
Financial Resilience Officer (In country - Madagascar),SEED Madagascar,On-site,"Taolagnaro, Anosy, Madagascar",Full Time,Posted 23 days ago,https://www.idealist.org/en/nonprofit-job/e1affa4324d3413dba6d8f42327a2668-financial-resilience-officer-in-country-madagascar-seed-madagascar-taolagnaro
"Programme Manager – Schools, WASH and Solar",SEED Madagascar,On-site,"Taolagnaro, Anosy, Madagascar",Full Time,Posted 23 days ago,https://www.idealist.org/en/nonprofit-job/b2ba7e7aa55842eabfce976c1c37b3cf-programme-manager-schools-wash-and-solar-seed-madagascar-taolagnaro
